config_name,n_slices,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,name,clip_limit,tile_grid_size,preprocessing,preprocessing_kernel,threshold_method,binary_threshold,morph_operation,morph_kernel_size,morph_iterations
morph_gradient_k5,115,0.023284709736188007,0.029384010209486184,0.0128783000643915,0.012007516792647499,0.01547686684012935,0.0064808813998703824,morph_gradient_k5,2.0,"(8, 8)",,5,otsu,127,gradient,5,1
morph_gradient_k3,115,0.022797335446343363,0.0333845297080993,0.006968641114982578,0.011824692597258211,0.017603276893187254,0.0034965034965034965,morph_gradient_k3,2.0,"(8, 8)",,5,otsu,127,gradient,3,1
morph_gradient_k7,115,0.02202664962043355,0.025887455954579055,0.014827487881380098,0.011311875922565884,0.013560787386300831,0.007469118069520253,morph_gradient_k7,2.0,"(8, 8)",,5,otsu,127,gradient,7,1
threshold_adaptive,115,0.01907901956487279,0.017149683568110734,0.01610239471511148,0.009707114866340268,0.008824700585832283,0.008116545265348595,threshold_adaptive,2.0,"(8, 8)",,5,adaptive,127,opening,3,1
clahe_clip4.0_tile8x8,115,0.01733118945934841,0.01782186477129376,0.011989509179467965,0.008823029053545239,0.009167833448278435,0.00603090840557859,clahe_clip4.0_tile8x8,4.0,"(8, 8)",,5,otsu,127,opening,3,1
clahe_clip4.0_tile4x4,115,0.016401525769560537,0.018193174581091827,0.010432441527847888,0.008353656748916716,0.009358895798052994,0.0052435723951285524,clahe_clip4.0_tile4x4,4.0,"(4, 4)",,5,otsu,127,opening,3,1
clahe_clip1.0_tile16x16,115,0.01614709069390695,0.015631341060219125,0.013238618017436228,0.00820193991830313,0.00802575553964298,0.006663416219730213,clahe_clip1.0_tile16x16,1.0,"(16, 16)",,5,otsu,127,opening,3,1
clahe_clip2.0_tile16x16,115,0.01614709069390695,0.015631341060219125,0.013238618017436228,0.00820193991830313,0.00802575553964298,0.006663416219730213,clahe_clip2.0_tile16x16,2.0,"(16, 16)",,5,otsu,127,opening,3,1
clahe_clip4.0_tile16x16,115,0.01614709069390695,0.015631341060219125,0.013238618017436228,0.00820193991830313,0.00802575553964298,0.006663416219730213,clahe_clip4.0_tile16x16,4.0,"(16, 16)",,5,otsu,127,opening,3,1
clahe_clip3.0_tile16x16,115,0.01614709069390695,0.015631341060219125,0.013238618017436228,0.00820193991830313,0.00802575553964298,0.006663416219730213,clahe_clip3.0_tile16x16,3.0,"(16, 16)",,5,otsu,127,opening,3,1
combo_median_closing,115,0.015344237684652103,0.015636347737828075,0.01115906937572376,0.0077941052174182075,0.008024850000906908,0.005610840567435952,combo_median_closing,4.0,"(16, 16)",median,5,otsu,127,closing,7,1
clahe_clip3.0_tile8x8,115,0.015223328749301499,0.016739723786724427,0.011298016570424303,0.007741976967292538,0.008604092410909809,0.005681100871102134,clahe_clip3.0_tile8x8,3.0,"(8, 8)",,5,otsu,127,opening,3,1
morph_closing_k7,115,0.014955177084940858,0.01694732963341497,0.009701492537313432,0.007607554246115224,0.008700537625324077,0.004874390701162355,morph_closing_k7,2.0,"(8, 8)",,5,otsu,127,closing,7,1
clahe_clip3.0_tile4x4,115,0.014821720806297518,0.0173117735034803,0.0090001406271973,0.007543089268536831,0.00889606243298326,0.004520412487639497,clahe_clip3.0_tile4x4,3.0,"(4, 4)",,5,otsu,127,opening,3,1
morph_closing_k5,115,0.014335894506877674,0.016413313008394895,0.009548292324641938,0.007288756342073765,0.008428552754887715,0.004797047970479705,morph_closing_k5,2.0,"(8, 8)",,5,otsu,127,closing,5,1
morph_closing_k3,115,0.013820469007393931,0.01605902178490779,0.009185051778478164,0.007024414947625711,0.008247211769246872,0.004613714492491406,morph_closing_k3,2.0,"(8, 8)",,5,otsu,127,closing,3,1
morph_opening_k3,115,0.013062427968305198,0.01602857532914411,0.008015478164731896,0.006639981618877113,0.008232724154616799,0.0040238656861384765,morph_opening_k3,2.0,"(8, 8)",,5,otsu,127,opening,3,1
baseline,115,0.013062427968305198,0.01602857532914411,0.008015478164731896,0.006639981618877113,0.008232724154616799,0.0040238656861384765,baseline,2.0,"(8, 8)",,5,otsu,127,opening,3,1
threshold_otsu,115,0.013062427968305198,0.01602857532914411,0.008015478164731896,0.006639981618877113,0.008232724154616799,0.0040238656861384765,threshold_otsu,2.0,"(8, 8)",,5,otsu,127,opening,3,1
clahe_clip2.0_tile8x8,115,0.013062427968305198,0.01602857532914411,0.008015478164731896,0.006639981618877113,0.008232724154616799,0.0040238656861384765,clahe_clip2.0_tile8x8,2.0,"(8, 8)",,5,otsu,127,opening,3,1
clahe_clip2.0_tile4x4,115,0.012994111511015967,0.016381625503406362,0.0061660427218674305,0.006608303310866404,0.008414028018625695,0.0030925557764523966,clahe_clip2.0_tile4x4,2.0,"(4, 4)",,5,otsu,127,opening,3,1
preproc_gaussian,115,0.01293143078286002,0.01630221831706397,0.006910850034554251,0.006575871675460141,0.008371538285284107,0.0034674063800277394,preproc_gaussian,2.0,"(8, 8)",gaussian,5,otsu,127,opening,3,1
preproc_bilateral,115,0.012915369217642756,0.016332852871276896,0.0076726342710997444,0.006567990827073094,0.00838716961137449,0.0038510911424903724,preproc_bilateral,2.0,"(8, 8)",bilateral,5,otsu,127,opening,3,1
threshold_binary,115,0.012570321210247122,0.016945615853935284,0.003276386613620407,0.006398404188572679,0.008695487659983831,0.0016408813877168307,threshold_binary,2.0,"(8, 8)",,5,binary,127,opening,3,1
combo_bilateral_otsu,115,0.012290385113604542,0.016398967966365,0.004504987664914727,0.0062520743649696125,0.008423414884823692,0.0022575790152655345,combo_bilateral_otsu,2.0,"(4, 4)",bilateral,5,otsu,127,opening,3,1
preproc_median,115,0.012157007905027687,0.016132577978500796,0.005972130059721301,0.006182307581564023,0.00828269346442507,0.002995008319467554,preproc_median,2.0,"(8, 8)",median,5,otsu,127,opening,3,1
morph_opening_k5,115,0.011960029943148782,0.016583316388549943,0.003943800838057678,0.006086387115006644,0.00851395355720008,0.001975796492961225,morph_opening_k5,2.0,"(8, 8)",,5,otsu,127,opening,5,1
clahe_clip1.0_tile8x8,115,0.011185861810077793,0.015504857681824321,0.00320659642693541,0.005685881873649617,0.007957738753951657,0.001605872906629961,clahe_clip1.0_tile8x8,1.0,"(8, 8)",,5,otsu,127,opening,3,1
clahe_clip1.0_tile4x4,115,0.01099465712109764,0.015597933597486492,0.002982996917569852,0.005589966939107846,0.00800838987622393,0.0014937263493328022,clahe_clip1.0_tile4x4,1.0,"(4, 4)",,5,otsu,127,opening,3,1
morph_opening_k7,115,0.01080032139736582,0.01660927827185696,0.0,0.005500043432282708,0.008525739081897233,0.0,morph_opening_k7,2.0,"(8, 8)",,5,otsu,127,opening,7,1
combo_gaussian_adaptive,115,0.010675149981215448,0.011367791217749897,0.007657945118059987,0.005399059107529877,0.005797860375139075,0.003843689942344651,combo_gaussian_adaptive,3.0,"(8, 8)",gaussian,5,adaptive,127,closing,5,1
